status_id,text
1235683421663506433,"A generous friend of the Terps from Connecticut just stepped up and gave $50,000 towards the Basketball Performance Center! 👏👏

https://t.co/3RX2lhjMK7 https://t.co/gOAGLaAAdb"
1236780504676028419,"Mark Turgeon on sharing the Big Ten title vs. winning it outright, the pressure he and his team were under, his celebratory hug with Anthony Cowan and lots more: https://t.co/e8IcHXYHfd #Terps https://t.co/KBBG2NT2Cv"
1235723121870716928,Maryland-Eastern Shore vs Coppin State Basketball Live Stream 06-Mar - USA - NCAAB https://t.co/VkwoZclk0y https://t.co/YubHppPcMl
1233924051724374018,@JoeWagnerBalt Go Terps 🏀🐢
1237352537596006400,"Guess what we just dropped, #StonerFam! 🌿 The Terp of the Month 🌿 is Linalool! Get your #Reading #Glasses 👓 and your favorite #Nug ready! Learn more below! 🌳

https://t.co/5JQL6pWrpx

#terpenes #terps #TerpOfTheMonth #StonerLife #WeedLovers #CannabisCulture
🔥🌲😎💨 https://t.co/gc0UsusSXX"
1238117935278931969,Sometimes a #Terps fan just can’t help himself https://t.co/qyLbZBhPSi
1236800635955281920,@seangentille Go Terps
1236064683217555457,B6: Terps go down in order to end the sixth. Still 9-3
1238470316189454336,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
1238114750480834562,"""AFTERNOON VIBES😤😤😤ITS WICKED WEDNESDAY😤😤💨💨🔥🔥🚀🚀#TERPS #STONERFAM @PPP #HITMYNOTE @AmeriCannaBlunt @AATFP @NorCalStoner420 @ChefJoeette @therealChef420 @pufcreativ @herbalinfuser @tnbnatural @samrulestheworl @lanni_1503 @LeoGirl_22 @RedBuds https://t.co/F4vDUn4DmT"
1238133842399113220,F U CORONA
1238265500922195969,"Big Ten Champions!

#9 Maryland handles #25 Michigan 83-70. Terrapins capture a share of the Big Ten Title for the first time under Mark Turgeon. 

Anthony Cowan: 20 PTS, 8 AST, 4 REB

 https://t.co/OOLf2n8gpa"
1236745808676077570,Anthony Cowan Jr. ended the @B1GMBBall regular season and his home @TerrapinHoops career with a net around his neck and a piece of the Big Ten title:
1236803475419418624,Congratulations to the University of Maryland Terrapins men's basketball team for winning their first Big Ten Championship! https://t.co/HEHcHMRBO7
1236704824395259904,@LukaGarza @BigTenNetwork @TerrapinHoops https://t.co/uo4atj2K04
1238290300445044742,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
1238469981207179265,"Was really looking forward to getting back to @SoccerSaturday but these are the right decisions. So much fear and bad news right now, so here’s a video of my little boy in deep discussion with his toy turtle 🐢 😊 hope it breaks your timeline up a bit ❤️ https://t.co/Hk2dSnq0YN"
1233965781572050944,@_____Chach_____ @WBrettzky @goMSUbuttboy69 @TerrapinHoops https://t.co/AHntdo1xZU
1236783016690757632,"""Just knowing that we got to get him this championship, his first one, it’s an amazing feeling,"" Jalen Smith said.

https://t.co/0KLncWhLaH"
1236719590480248838,@TimBrando with the “Boy is there gonna be a party at Bentleys tonight!” when @TerrapinHoops clinched the Big Ten title. Lmao
1233957148989763584,https://t.co/2EighbCe9Z
1238293059135254533,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
1238481990078418944,"Thank You, Terp Nation https://t.co/13gSYdNc6K"
1237260500288909312,"🏆 @TerrapinHoops, @MSU_Basketball &amp; @BadgerMBB all added to their trophy cases over the weekend!

See who has the most regular season titles in @bigten history 👇 https://t.co/PHt3iG0dsu"
1233962181563158531,Turgeon: “Gotta be resilient and bounce back...play with more confidence and grit” #Terps
1233943744023552000,@TerrapinHoops Nice performance to honor the team
1237447397858574337,"The daily #Colorado #UMD #Terps digest is out!
https://t.co/ywOUHI6FEa"
1236706957756641280,Michigan cuts Maryland's lead to five and Turgeon calls a timeout. Maryland's lead hasn't been this small since the 8:12 mark of the first half.
1236721451090284546,"🐢🏆

Congrats to No. 9 @TerrapinHoops on winning a share of its first B1G title. https://t.co/lC3pFBacYl"
1236721641385844738,Congratulations @TerrapinHoops
1236835435730567168,https://t.co/EUkwjPwu3f
1236813014478839809,"CONGRATS, @TerrapinHoops!"
1233958716002754565,"Taking on the Terps in primetime 🏀

8 PM ET on ESPN. 

#GoGreen https://t.co/UOPjaGC20l"
1236729431592505348,Idk why basketball was on in the nail salon but shout to Maryland for the big win
1233905916464025600,Maryland football vs. Maryland basketball https://t.co/STQfpoyrMO
1236852629801598977,"History was made today for Maryland Basketball, winning a share of the Big Ten regular-season title for the first time ever. 

@ABrownSports has the story for this game.

https://t.co/uGDQO1INeA"
1236688022130827264,I'm very pleased with this start #Terps
1238039330532229120,La #meetingindustry fa fronte comune! E noi #Terps con loro! #eventsmustgoon #uncrownthevirus https://t.co/2JpqWhLczv
1236842525735833600,"🗣 Let's cut down some nets

@TerrapinHoops celebrates winning their first @BigTen title in program history! https://t.co/2HGMgXBL7R"
1236729944522317826,"@TerrapinHoops Well, co-champions. Fucked the Champion thing a few games ago #fireturgeon"
1233920914443685888,"Of course Duke and UVA, two teams I despise, are going long and keeping me away from @TerrapinHoops"
