status_id,text
1233901814975811584,"Placed this modified bet from @RookieWiseguy:

🏀 Michigan State +2.5 vs Maryland
⚖️ -115
💰 $0.50 to win $0.43 (Risk 0.33 units)
⏰ 7 p.m. CST

📢 @RookieWiseguy tipped Michigan State +2"
1236790235926847488,@BigTenNetwork @B1GMBBall @TerrapinHoops @MSU_Basketball @BadgerMBB https://t.co/tn55z0GUXu
1236687542629666817,"NO SLOW START- @TerrapinHoops makes three of their first four shots, but so does @umichbball and the #Wolverines lead 7-6 with 15:34 left in the 1st. Franz Wagner (brother of #Wiz forward Mo) has 5 points to lead all scorers. @WTOP"
1236718675555745792,FINAL: #TERPS ARE BIG TEN CHAMPS!!!
1233970857439121408,STOP ASKING ME WHY I STOP PLAYING  BASKETBALL MARYLAND TOO SMALL FOR THE BS.
1238502069495095297,"Ten teams have been ranked in the men’s basketball @AP_Top25 every week this season.

Auburn
Baylor
Duke
Gonzaga
Kansas
Kentucky 
Louisville
Maryland
Oregon
Villanova"
1236680625924562951,Maryland vs Michigan Basketball Live Streaming Video 08-Mar - USA - NCAAB https://t.co/bkWmj4GQRz https://t.co/90xhdn7ito
1233968465968369665,Michigan State basketball finally looks like championship team in win over Maryland https://t.co/LSaEPMQQZp https://t.co/NfDkiynq0Z
1236720472739524614,I’m literally crying
1233918864368504832,It feels like the entirety of the hospitality staff in CP was woefully under prepared for the shit show that is this game. #terps
1238205744144580608,Welp. At least I can finally say that I got to be there when @TerrapinHoops ended the season with a championship celebration...even if they had to share it. #GoTerps #MarylandPride #B1GChamps https://t.co/WR2TtNDepN
1233880359143690240,"FINAL | #Terps 3, Coastal Carolina 10

Back tomorrow for a 1:00 first pitch for our last shot at the Chanticleers.

#DirtyTerps"
1236740086550728705,Read more on the Senior Day victory that secured @TerrapinHoops a share of the 2019-20 #B1GMBBall Championship.
1236093341617487872,"BOBBY Z IS AN ANIMAL!!

His second bomb of the day is a grand slam to straightaway center 😳

B4 | #Terps 8, Bulldogs 2

#DirtyTerps https://t.co/U4W1Nlj6jx"
1233964270779539456,@CoachNegative @TerrapinHoops @CoachTurgeon 🤷🏽‍♂️ I don’t like either on offense right now but Ayala has the edge. If we go to zone on d and run the offense through Stix we would have had a shot. Serrel Smith is literally brick city on offense
1236784286646272000,Anthony Cowan Jr. and Mark Turgeon butted heads all the way to a Big Ten title https://t.co/aIa7cYuYBG
1238152780096901122,@JerseyTerp @jtLOL Lol yeah. Ps - go Terps!
1233941407745835009,"At the under 16 in the second half, @MSU_Basketball is giving @TerrapinHoops the Ben Dreith-like business:

https://t.co/S9EiUXiYKo"
1235587183903416320,#Terps Jalen Smith (Baltimore native) has been named one of ten semifinalists for Naismith Player of the Year. @WMAR2News
1233956218655444994,@TerrapinHoops https://t.co/9qc5EAhdAk
1233938835630968832,Down by 11 v Michigan St at home (where Terps are 15-0): confidence level MD wins? It would be business as usual to see them get the victory #ComebackKids 🏀 @wjz
1235677897278570496,@Hoophall @ZagMBB @TheDeliverer_32 @DellTech @EphesusLighting @BYUbasketball @TerrapinHoops @HailStateMBK @yochilds22 @KillianTillie @_R1bang_ @marchmadness Tillie!
1234300268168335360,@TerrapinHoops s smith hurt? If not why isn't he getting time
1236835169610403840,YOUR MARYLAND TERRAPINS ARE BIG TEN BASKETBALL CHAMPIONS
1233958314825916416,@shaquilleoatm15 @TerrapinHoops Like to see his SATs
1236683123196407815,Maryland vs Michigan Basketball TV Live Streaming 08-Mar - USA - NCAAB https://t.co/s9qByxfWAv https://t.co/vDYGLc26Hz
1236721395964534787,@johnconservativ @TerrapinHoops With the your weak ass 21 and 10 record
1237368548185509889,"My breakdown of @TerpsFootball running back (my rb5) Anthony McFarland on the @GoingFor_2 War Room

#NFLDraft #NFL
#NFLCombine #NFLTwitter
#draftpack #NFLDraftNews #Terps
#maryland

https://t.co/EnIrffxzMS"
